gen,best,mean
0,135.66666666666666,16.700000000000003
1,59.666666666666664,16.622222222222224
2,135.66666666666666,29.622222222222216
3,389.3333333333333,49.60000000000001
4,387.3333333333333,65.21111111111112
5,500.0,78.23333333333332
6,500.0,81.08888888888889
7,500.0,71.2111111111111
8,477.6666666666667,65.95555555555556
9,394.6666666666667,89.16666666666667
10,500.0,120.99999999999999
11,500.0,177.07777777777775
12,500.0,168.94444444444443
13,500.0,169.54444444444442
14,500.0,211.5111111111111
15,500.0,324.59999999999997
16,500.0,336.2888888888889
17,500.0,404.1666666666667
18,500.0,334.33333333333326
19,500.0,281.08888888888885
20,500.0,393.56666666666666
21,500.0,375.1333333333333
22,500.0,374.2444444444444
23,500.0,372.7888888888889
24,500.0,230.3
25,500.0,425.31111111111113
26,500.0,328.76666666666665
27,500.0,394.83333333333326
28,500.0,248.1888888888889
29,500.0,245.2888888888889
