gen,best,mean,std,n_species,genome_size,n_hidden
0,500.0,69.58000000000001,108.28599601672109,1,8,0
1,500.0,85.62,110.90863126415766,1,8,0
2,500.0,90.02000000000002,117.25050883566442,1,8,0
3,500.0,106.99333333333333,125.0146567407198,1,8,0
4,500.0,157.16666666666669,166.13210606823316,1,8,0
5,500.0,228.63999999999996,205.34128599318095,1,8,0
6,500.0,201.11333333333334,190.30070485068276,1,8,0
7,500.0,209.18666666666667,206.0338069346873,1,8,0
8,500.0,179.90666666666667,196.55014672540383,1,8,0
9,500.0,219.8466666666667,201.58341212620758,1,8,0
10,500.0,180.58,193.37611951841416,1,8,0
11,500.0,258.2866666666667,214.7306737908366,1,8,0
12,500.0,184.92,200.33542494748372,1,8,0
13,500.0,237.79333333333332,222.49439333760003,1,8,0
14,500.0,196.26,194.41658925559253,1,8,0
15,500.0,182.98666666666665,199.9689304756005,1,8,0
16,500.0,231.76,216.1435740942169,1,8,0
17,500.0,163.7466666666667,182.07571758291476,1,8,0
18,500.0,236.2133333333333,195.73251316812727,1,8,0
19,500.0,155.27999999999997,200.17442793723677,1,8,0
20,500.0,129.45333333333335,172.03610422104876,1,8,0
21,500.0,170.65333333333336,188.14369165909102,1,8,0
22,500.0,117.06666666666666,169.87412333188882,1,8,0
23,500.0,166.44000000000003,185.68262576533945,1,8,0
24,500.0,97.0,166.97715079881107,1,8,0
25,500.0,135.67999999999998,188.49500977774215,1,8,0
26,500.0,167.38,201.09256033533967,1,8,0
27,500.0,162.4,195.97523653087737,1,8,0
28,500.0,184.9333333333333,208.4117932257087,1,8,0
29,500.0,155.43333333333334,185.12313319637943,1,8,0
