gen,best,mean,std,n_species,genome_size,n_hidden
0,407.6666666666667,89.08666666666667,108.33277558830784,1,8,0
1,469.0,105.18,123.66686810405878,1,8,0
2,469.0,64.17333333333333,94.38785797618957,1,8,0
3,469.0,87.67999999999998,102.51308772813135,1,8,0
4,500.0,110.48,138.70262610667788,1,8,0
5,500.0,138.2866666666667,154.44227990489594,1,8,0
6,500.0,190.00666666666663,179.91210804785268,1,8,0
7,500.0,246.47333333333327,192.32934819672678,1,8,0
8,500.0,214.96666666666664,212.7307766481694,1,8,0
9,500.0,242.85333333333332,212.52682089562248,1,8,0
10,500.0,190.52,190.98140875197484,1,8,0
11,500.0,205.3466666666667,193.64975210128438,1,8,0
12,500.0,301.8666666666667,206.72262683229536,1,8,0
13,500.0,179.11333333333332,191.15895200940324,1,8,0
14,500.0,265.0333333333333,208.0418253888172,1,8,0
15,500.0,213.57999999999996,215.03481692249025,1,8,0
16,500.0,252.66,208.26355620810003,1,8,0
17,500.0,205.44000000000003,207.03480587680042,1,8,0
18,500.0,208.52,213.82297101418578,1,8,0
19,500.0,270.8,219.159505586431,1,8,0
20,500.0,162.47333333333333,187.17539118876354,1,8,0
21,500.0,208.7666666666667,200.51334397269204,1,8,0
22,500.0,196.38666666666668,199.54430708213374,1,8,0
23,500.0,217.18,194.57937780419246,1,8,0
24,500.0,188.1733333333333,192.97509614800902,1,8,0
25,500.0,229.70666666666665,219.48422003516436,1,8,0
26,500.0,243.74666666666667,210.8145426145402,1,8,0
27,500.0,296.7733333333333,219.201890097285,1,8,0
28,500.0,242.39333333333335,202.6965952682317,1,8,0
29,500.0,263.6333333333334,207.54395786060468,1,8,0
