gen,best,mean
0,345.6666666666667,35.6
1,65.66666666666667,15.766666666666667
2,323.3333333333333,28.244444444444447
3,179.66666666666666,23.7
4,91.66666666666667,26.066666666666666
5,444.0,42.86666666666667
6,313.0,40.844444444444434
7,474.0,64.50000000000001
8,328.3333333333333,68.95555555555556
9,500.0,88.32222222222224
10,285.0,93.86666666666666
11,500.0,102.43333333333335
12,500.0,162.67777777777778
13,500.0,165.3
14,500.0,196.7111111111111
15,500.0,177.88888888888889
16,500.0,232.32222222222222
17,500.0,220.94444444444443
18,500.0,321.0444444444444
19,500.0,151.75555555555553
20,500.0,245.1
21,500.0,255.11111111111103
22,500.0,161.93333333333337
23,500.0,279.7444444444444
24,500.0,326.9555555555555
25,500.0,249.6777777777778
26,500.0,255.97777777777776
27,500.0,164.35555555555553
28,500.0,243.0
29,500.0,316.8888888888889
