step,best,std
500,146.66666666666666,4.784233364802441
1000,126.33333333333333,8.379870059984357
1500,187.33333333333334,16.97710877099579
2000,187.66666666666666,12.036980056845191
2500,198.66666666666666,50.24163833139025
3000,237.33333333333334,15.797327481430381
3500,251.33333333333334,55.8589493476401
4000,151.66666666666666,4.496912521077347
4500,150.66666666666666,6.236095644623235
5000,174.0,8.48528137423857
5500,149.33333333333334,14.636332266733433
6000,155.66666666666666,11.841546445554409
6500,197.33333333333334,20.98147330914162
7000,168.66666666666666,4.988876515698588
7500,149.0,0.0
8000,133.66666666666666,6.236095644623235
8500,144.0,6.377042156569663
9000,141.0,2.943920288775949
9500,132.33333333333334,1.699673171197595
10000,115.66666666666667,13.888444437333106
