gen,best,mean
0,56.333333333333336,13.146666666666665
1,88.0,16.633333333333333
2,216.66666666666666,17.013333333333332
3,57.333333333333336,11.633333333333331
4,21.666666666666668,10.57333333333333
5,91.66666666666667,14.179999999999998
6,56.333333333333336,13.133333333333333
7,54.0,13.526666666666666
8,218.66666666666666,20.346666666666664
9,175.0,16.226666666666667
10,40.0,12.079999999999998
11,351.6666666666667,22.28666666666667
12,110.33333333333333,19.806666666666665
13,78.33333333333333,14.979999999999995
14,40.666666666666664,13.41333333333333
15,168.66666666666666,18.933333333333334
16,194.0,21.153333333333336
17,58.0,15.68
18,151.33333333333334,16.766666666666666
19,162.0,16.233333333333334
20,69.0,12.553333333333331
21,34.666666666666664,12.546666666666665
22,112.0,19.0
23,500.0,23.93333333333333
24,99.33333333333333,14.899999999999999
25,61.666666666666664,13.886666666666665
26,55.0,14.22
27,118.66666666666667,16.259999999999998
28,356.0,21.91333333333334
29,500.0,33.84666666666667
