gen,best,mean
0,50.333333333333336,14.006666666666668
1,50.333333333333336,14.673333333333332
2,469.6666666666667,26.913333333333334
3,469.6666666666667,36.300000000000004
4,469.6666666666667,38.86666666666667
5,469.6666666666667,51.28
6,469.6666666666667,47.74666666666667
7,500.0,59.36666666666667
8,500.0,60.39333333333333
9,500.0,54.79333333333334
10,500.0,61.55333333333334
11,500.0,58.11333333333334
12,500.0,60.74666666666667
13,500.0,67.38666666666667
14,500.0,67.47333333333331
15,500.0,65.85333333333332
16,500.0,84.98
17,500.0,91.13333333333333
18,500.0,85.49999999999999
19,500.0,88.48
20,500.0,91.57333333333334
21,500.0,133.2
22,500.0,127.38000000000002
23,500.0,110.65333333333332
24,500.0,112.28666666666666
25,500.0,121.51333333333334
26,500.0,109.78666666666666
27,500.0,121.82
28,500.0,111.64
29,500.0,82.85333333333334
