gen,best,mean
0,57.666666666666664,13.666666666666664
1,150.33333333333334,21.87333333333333
2,150.33333333333334,24.253333333333334
3,150.33333333333334,31.306666666666665
4,150.33333333333334,32.08666666666667
5,187.0,33.34666666666667
6,359.0,41.49333333333334
7,359.0,37.39333333333333
8,359.0,44.42666666666666
9,500.0,55.49333333333334
10,500.0,70.56666666666666
11,500.0,69.18
12,500.0,86.61333333333332
13,500.0,73.73333333333333
14,500.0,70.23333333333332
15,500.0,81.69999999999999
16,500.0,98.14
17,500.0,73.34
18,500.0,83.39333333333335
19,500.0,71.02
20,500.0,86.78
21,500.0,73.79333333333332
22,500.0,77.40666666666667
23,500.0,76.55333333333334
24,500.0,95.66666666666666
25,500.0,105.90666666666668
26,500.0,114.82666666666668
27,500.0,113.24
28,500.0,76.44
29,500.0,91.71333333333334
