gen,best,mean
0,94.33333333333333,13.093333333333335
1,469.3333333333333,24.38
2,97.66666666666667,15.76
3,56.666666666666664,13.066666666666665
4,82.33333333333333,14.913333333333334
5,408.3333333333333,29.566666666666666
6,388.3333333333333,27.47333333333333
7,257.3333333333333,20.326666666666664
8,54.333333333333336,12.353333333333332
9,108.0,19.71333333333333
10,62.0,15.193333333333333
11,82.0,17.69333333333333
12,90.0,14.64
13,117.33333333333333,20.633333333333336
14,81.33333333333333,16.793333333333337
15,174.0,17.266666666666666
16,52.333333333333336,15.200000000000003
17,87.33333333333333,14.786666666666667
18,187.33333333333334,17.106666666666666
19,500.0,38.10666666666666
20,461.3333333333333,24.38
21,231.0,22.713333333333335
22,153.66666666666666,17.026666666666664
23,59.0,14.853333333333335
24,125.0,22.54
25,157.0,22.76
26,83.0,15.053333333333335
27,267.0,18.89333333333333
28,147.66666666666666,18.86
29,69.0,11.966666666666665
