gen,best,mean,std,n_species,genome_size,n_hidden
0,-200.0,-200.0,0.0,1,6,0
1,-200.0,-200.0,0.0,1,6,0
2,-200.0,-200.0,0.0,1,6,0
3,-200.0,-200.0,0.0,1,6,0
4,-200.0,-200.0,0.0,1,6,0
5,-200.0,-200.0,0.0,1,6,0
6,-200.0,-200.0,0.0,1,6,0
7,-200.0,-200.0,0.0,1,6,0
8,-200.0,-200.0,0.0,1,6,0
9,-200.0,-200.0,0.0,1,6,0
10,-200.0,-200.0,0.0,1,6,0
11,-200.0,-200.0,0.0,1,6,0
12,-120.33333333333333,-198.40666666666667,11.153333333333334,1,6,0
13,-120.33333333333333,-197.84666666666664,11.746433974237078,1,6,0
14,-120.33333333333333,-197.86,11.717430510900323,1,6,0
15,-120.33333333333333,-197.74666666666664,11.984909029460528,1,6,0
16,-120.33333333333333,-198.40666666666664,11.153333333333334,1,6,0
17,-120.33333333333333,-198.40666666666664,11.153333333333334,1,6,0
18,-120.33333333333333,-198.4,11.152478548635628,1,6,0
19,-120.33333333333333,-198.40666666666664,11.153333333333334,1,6,0
20,-120.33333333333333,-198.40666666666664,11.153333333333334,1,6,0
21,-120.33333333333333,-198.40666666666664,11.153333333333334,1,6,0
22,-120.33333333333333,-198.20666666666665,11.212471231227802,1,6,0
23,-120.33333333333333,-198.40666666666664,11.153333333333334,1,6,0
24,-120.33333333333333,-197.84,11.72977976491176,1,6,0
25,-120.33333333333333,-198.40666666666664,11.153333333333334,1,6,0
26,-120.33333333333333,-198.40666666666664,11.153333333333334,1,6,0
27,-120.33333333333333,-198.40666666666664,11.153333333333334,1,6,0
28,-120.33333333333333,-198.40666666666664,11.153333333333334,1,6,0
29,-120.33333333333333,-197.32,12.218921574527123,1,6,0
